"","X","GAD.1","GAD.2","GAD.3","GAD.4","GAD.5","GAD.6","GAD.7","FOC.1","FOC.2","FOC.3","FOC.4","FOC.5","FOC.6","IUS.1","IUS.2","IUS.3","MAAS.1","MAAS.2","MAAS.3","MAAS.4","MAAS.5","FinancePlan","MortalityRisk","MentalHealth","CRA.1","CRA.2","CRA.3","CRA.4","CRA.5","CRA.6","Government","Norm","CurrentBehavior","RAB.1","RAB.2","RAB.3","RAB.4","RAB.5","RAB.6","Stockpil","RiskPerception","Vaccine","Origin","BacktoNormal","News","Born","Gender","Country","Region","Education","Language","Ethnicity","Children","LiveWith","FinancialSatisfaction","GAD.mean","FOC.mean","IUS.mean","MAAS.mean","CRA.mean","RAB.mean","sex","edu","origin","age","vac_hes","child","news_opposite","new_ethnicity","new_region","origin_binomial","new_back_normal","new_finance_plan"
"16",17,2,1,2,1,3,4,1,3,3,1,3,3,3,3,2,2,3,4,2,5,4,2,70,1,3,2,2,4,2,1,1,3,4,4,4,4,3,1,4,4,50.5278048780488,1,1,4,1,23,2,1,3,5,1,5,2,1,28,2,2.66666666666667,2.33333333333333,3.6,2.33333333333333,3.33333333333333,"Male","pg","natural",39,1,"no",6,"white","non_England",1,"6to12months",2
"17",18,1,2,2,1,2,2,1,1,2,2,4,2,3,3,3,4,4,4,4,3,3,6,40,2,2,2,1,2,1,3,1,3,3,1,1,1,2,1,2,2,60,3,2,4,5,27,1,1,9,4,1,5,1,3,70,1.57142857142857,2.33333333333333,3.33333333333333,3.6,1.83333333333333,1.33333333333333,"Female","ug","artificial",43,0,"yes",2,"white","south",0,"6to12months",6
"18",19,3,1,4,2,1,2,1,5,5,5,3,5,5,5,5,5,5,5,1,2,5,5,70,2,2,1,3,2,2,2,1,2,4,2,2,1,2,1,2,1,80,1,1,5,2,15,2,1,10,5,1,5,2,1,60,2,4.66666666666667,5,3.6,2,1.66666666666667,"Male","pg","natural",31,1,"no",5,"white","south",1,"more12months",5
"19",20,3,1,1,2,1,4,2,4,5,4,4,4,4,3,4,3,5,5,3,6,5,5,50,2,2,2,2,2,3,2,1,2,5,3,2,1,4,1,2,3,70,1,1,5,2,21,1,1,11,5,1,5,1,3,76,2,4.16666666666667,3.33333333333333,4.8,2.16666666666667,2.16666666666667,"Female","pg","natural",37,1,"yes",5,"white","south",1,"more12months",5
"20",21,4,4,4,4,4,4,3,3,2,3,3,4,4,4,5,3,1,2,1,4,2,2,100,1,2,2,1,2,4,2,2,2,3,4,4,4,4,1,4,1,56,1,1,5,4,12,1,1,12,5,1,0,2,3,0,3.85714285714286,3.16666666666667,4,2,2.16666666666667,3.5,"Female","pg","natural",28,1,"no",3,"other","south",1,"more12months",2
"21",22,1,2,2,3,4,1,1,5,4,4,3,4,4,3,4,2,3,3,2,5,3,4,77,2,3,3,2,3,2,1,1,2,4,2,1,1,4,1,1,2,68,1,1,5,4,19,2,1,12,4,1,5,1,3,49,2,4,3,3.2,2.33333333333333,1.66666666666667,"Male","ug","natural",35,1,"yes",3,"white","south",1,"more12months",4
"22",23,3,2,4,2,2,1,2,5,3,5,3,5,5,1,4,1,5,6,3,5,5,5,100,2,4,3,4,4,3,1,2,4,4,4,3,3,4,1,4,3,70,1,1,5,4,15,1,1,11,5,18,5,2,3,75,2.28571428571429,4.33333333333333,2,4.8,3.16666666666667,3.16666666666667,"Female","pg","natural",31,1,"no",3,"white","south",1,"more12months",5
"23",24,2,2,2,1,3,2,2,5,5,2,5,5,4,2,4,1,3,4,3,4,3,4,95,2,3,2,1,4,2,1,1,3,3,1,1,1,2,1,1,1,80,3,1,4,2,10,2,1,10,5,1,5,2,3,100,2,4.33333333333333,2.33333333333333,3.4,2.16666666666667,1.16666666666667,"Male","pg","natural",26,0,"no",5,"white","south",1,"6to12months",4
"24",25,4,3,4,2,2,2,4,5,5,4,4,3,4,5,5,4,3,3,3,5,2,6,65,1,4,4,1,4,4,4,3,2,4,4,4,1,3,1,3,1,70,1,1,0,4,22,1,1,10,4,1,5,2,3,100,3,4.16666666666667,4.66666666666667,3.2,3.5,2.66666666666667,"Female","ug","natural",38,1,"no",3,"white","south",1,"other",6
"25",26,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,5,2,2,3,5,3,8,50,3,4,3,2,4,2,2,1,3,3,3,2,2,4,1,3,1,50,1,1,4,4,16,1,1,11,5,20,0,2,3,60,2,2.83333333333333,3.66666666666667,3,2.83333333333333,2.5,"Female","pg","natural",32,1,"no",3,"other","south",1,"6to12months",0
"26",27,1,1,1,1,1,2,1,2,3,2,3,2,4,5,4,3,4,5,3,3,4,3,80,2,1,1,1,1,1,1,2,3,3,1,1,1,3,1,1,1,11,1,1,5,4,16,1,1,10,5,17,5,2,3,81,1.14285714285714,2.66666666666667,4,3.8,1,1.33333333333333,"Female","pg","natural",32,1,"no",3,"white","south",1,"more12months",3
"27",28,2,2,2,2,1,2,1,2,3,2,1,1,2,1,4,4,3,3,3,3,2,5,98,2,4,2,2,2,2,3,3,3,4,4,3,4,4,1,4,3,16,1,3,5,3,50,1,1,6,5,1,5,1,3,96,1.71428571428571,1.83333333333333,3,2.8,2.5,3.33333333333333,"Female","pg","not_sure",66,1,"yes",4,"white","north",0,"more12months",5
"28",29,2,2,3,3,2,1,2,5,2,4,2,5,5,1,3,3,3,3,2,5,3,3,52,2,2,2,1,2,3,2,3,4,4,1,2,1,2,1,2,1,35,3,1,4,4,17,1,1,10,5,18,5,2,2,80,2.14285714285714,3.83333333333333,2.33333333333333,3.2,2,1.5,"Female","pg","natural",33,0,"no",3,"white","south",1,"6to12months",3
"29",30,1,1,2,1,2,2,1,2,3,2,3,3,4,2,2,3,3,3,3,4,3,2,99,2,4,4,2,4,3,2,1,1,4,3,1,1,3,3,3,4,41,3,3,4,4,12,1,1,10,5,4,2,2,2,60,1.42857142857143,2.83333333333333,2.33333333333333,3.2,3.16666666666667,2.33333333333333,"Female","pg","not_sure",28,0,"no",3,"other","south",0,"6to12months",2
"30",31,4,4,4,3,3,2,3,4,5,4,2,4,5,3,4,3,1,3,1,4,2,5,27,2,4,3,3,4,4,3,1,2,4,4,3,3,4,1,4,2,62,1,1,4,4,11,1,1,11,5,11,5,2,2,13,3.28571428571429,4,3.33333333333333,2.2,3.5,3.16666666666667,"Female","pg","natural",27,1,"no",3,"white","south",1,"6to12months",5
"31",32,4,4,4,4,4,4,3,5,5,4,3,4,5,4,4,4,4,3,1,4,4,4,50,1,4,3,4,3,4,3,1,2,4,4,4,4,4,1,4,1,50,1,1,5,2,24,1,1,11,5,0,6,2,3,40,3.85714285714286,4.33333333333333,4,3.2,3.5,3.5,"Female","pg","natural",40,1,"no",5,"other","south",1,"more12months",4
"32",33,1,1,1,1,1,1,1,2,5,3,2,5,4,2,1,1,4,5,3,4,5,5,85,2,2,1,2,3,1,1,3,3,4,3,3,4,4,3,4,2,65,3,2,4,4,17,2,1,5,4,1,5,2,3,50,1,3.5,1.33333333333333,4.2,1.66666666666667,3.5,"Male","ug","artificial",33,0,"no",3,"white","north",0,"6to12months",5
"33",34,2,1,1,3,1,2,1,5,5,5,3,4,5,3,5,4,3,6,3,6,3,8,71,1,2,1,1,3,2,1,2,4,5,1,1,2,2,1,1,1,28,3,3,0,5,24,1,1,10,5,1,5,2,4,81,1.57142857142857,4.5,4,4.2,1.66666666666667,1.33333333333333,"Female","pg","not_sure",40,0,"no",2,"white","south",0,"other",0
"34",35,1,2,2,1,1,2,1,5,5,5,4,4,5,3,3,1,5,5,4,5,4,6,74.8669131238447,2,3,1,1,1,2,2,4,3,3,1,1,1,3,1,2,1,10,3,3,3,6,55,1,1,5,5,1,5,1,1,81,1.42857142857143,4.66666666666667,2.33333333333333,4.6,1.66666666666667,1.5,"Female","pg","not_sure",71,0,"yes",1,"white","north",0,"less6months",6
"35",36,4,3,3,4,4,3,3,4,4,4,4,4,4,2,4,1,4,4,4,4,4,3,70,1,4,3,2,3,3,3,2,3,4,4,4,4,4,1,4,2,72,1,3,5,4,36,1,1,9,5,1,5,1,3,100,3.42857142857143,4,2.33333333333333,4,3,3.5,"Female","pg","not_sure",52,1,"yes",3,"white","south",0,"more12months",3
"36",37,2,2,3,2,2,1,1,5,5,4,4,5,5,4,4,4,4,3,1,5,5,8,81,2,1,2,4,2,2,1,1,2,3,4,3,2,4,1,4,1,70,1,3,4,4,17,1,1,10,5,20,5,2,3,77,1.85714285714286,4.66666666666667,4,3.6,2,3,"Female","pg","not_sure",33,1,"no",3,"white","south",0,"6to12months",0
"37",38,2,2,3,4,2,2,1,4,5,4,4,4,5,4,4,2,4,4,3,3,4,5,90,2,2,2,4,1,2,2,2,3,3,2,3,3,3,1,3,2,33,1,3,3,5,18,1,1,12,5,1,5,2,3,50,2.28571428571429,4.33333333333333,3.33333333333333,3.6,2.16666666666667,2.5,"Female","pg","not_sure",34,1,"no",2,"white","south",0,"less6months",5
"38",39,1,1,1,1,1,1,1,4,2,2,1,2,3,1,2,1,5,3,6,5,3,2,30,2,3,2,2,3,1,2,2,2,4,2,3,2,4,1,3,1,70,1,1,0,3,39,2,1,1,5,1,5,2,3,35,1,2.33333333333333,1.33333333333333,4.4,2.16666666666667,2.5,"Male","pg","natural",55,1,"no",4,"white","non_England",1,"other",2
"39",40,1,1,1,1,1,1,1,2,3,2,4,5,4,1,1,1,5,5,5,5,5,4,50,1,2,2,2,3,1,1,3,3,4,3,3,1,4,1,2,2,75,1,1,5,4,27,1,1,10,4,1,5,2,1,50,1,3.33333333333333,1,5,1.83333333333333,2.33333333333333,"Female","ug","natural",43,1,"no",3,"white","south",1,"more12months",4
"40",41,2,1,2,2,2,1,2,4,5,5,5,5,4,2,4,2,5,4,4,4,4,3,75,1,3,2,2,3,2,2,1,2,4,3,3,3,4,1,3,1,50,1,1,0,3,44,1,1,10,5,1,5,1,3,99,1.71428571428571,4.66666666666667,2.66666666666667,4.2,2.33333333333333,2.83333333333333,"Female","pg","natural",60,1,"yes",4,"white","south",1,"other",3
"41",42,1,1,1,1,2,1,1,2,2,2,1,2,3,2,4,2,4,4,5,5,4,3,90,1,3,1,2,3,1,1,2,3,3,2,1,1,4,1,3,1,32,3,1,0,3,15,1,1,5,5,1,5,2,3,75,1.14285714285714,2,2.66666666666667,4.4,1.83333333333333,2,"Female","pg","natural",31,0,"no",4,"white","north",1,"other",3
"42",43,4,4,4,4,2,2,3,3,2,2,4,2,5,5,5,2,1,4,1,1,4,5,27,1,4,2,4,4,4,4,1,2,4,4,4,4,4,4,4,4,50,1,1,5,1,31,1,1,6,5,1,5,1,3,2,3.28571428571429,3,4,2.2,3.66666666666667,4,"Female","pg","natural",47,1,"yes",6,"white","north",1,"more12months",5
"43",44,1,1,1,2,1,1,1,3,4,2,3,4,4,2,3,3,3,3,4,4,3,7,88,2,3,3,3,2,4,1,1,1,3,4,3,4,3,3,1,3,31,1,1,5,2,43,1,1,12,5,1,5,1,3,91,1.14285714285714,3.33333333333333,2.66666666666667,3.4,2.66666666666667,3,"Female","pg","natural",59,1,"yes",5,"white","south",1,"more12months",7
"44",45,1,1,1,1,1,1,1,4,5,2,3,4,4,4,4,1,3,4,3,2,4,8,42,3,2,2,1,3,1,2,3,3,4,4,4,3,4,3,4,3,75,1,1,0,4,43,1,1,10,5,1,5,1,3,100,1,3.66666666666667,3,3.2,1.83333333333333,3.66666666666667,"Female","pg","natural",59,1,"yes",3,"white","south",1,"other",0
"45",46,2,3,3,3,1,2,2,5,5,4,4,4,5,4,5,1,3,3,3,3,3,5,50,2,4,3,4,3,3,3,1,3,4,4,4,4,4,1,4,2,50.5278048780488,1,1,5,5,17,1,1,12,5,1,5,2,3,70,2.28571428571429,4.5,3.33333333333333,3,3.33333333333333,3.5,"Female","pg","natural",33,1,"no",2,"white","south",1,"more12months",5
"46",47,1,1,1,2,1,2,1,5,5,5,4,5,5,2,1,1,4,4,4,4,5,4,100,2,3,2,1,1,2,1,1,3,3,4,3,3,4,1,4,1,50.5278048780488,1,1,5,3,32,2,1,8,5,7,5,2,3,58,1.28571428571429,4.83333333333333,1.33333333333333,4.2,1.66666666666667,3.16666666666667,"Male","pg","natural",48,1,"no",4,"white","midlands",1,"more12months",4
"47",48,2,1,2,2,1,1,2,4,4,4,4,4,5,2,4,1,6,5,3,3,4,4,60,2,4,4,1,4,2,4,1,3,3,4,3,4,4,2,4,1,40,1,1,5,4,45,2,1,6,4,1,5,1,3,75,1.57142857142857,4.16666666666667,2.33333333333333,4.2,3.16666666666667,3.5,"Male","ug","natural",61,1,"yes",3,"white","north",1,"more12months",4
"48",49,2,1,1,2,2,2,1,4,5,4,4,3,4,3,4,2,4,4,5,4,4,6,70,2,3,3,2,3,2,2,3,4,3,2,1,1,4,1,2,2,70,1,3,5,5,14,2,1,11,5,1,5,2,3,80,1.57142857142857,4,3,4.2,2.5,1.83333333333333,"Male","pg","not_sure",30,1,"no",2,"white","south",0,"more12months",6
"49",50,4,3,4,4,2,3,4,4,3,4,3,3,4,5,5,5,4,3,2,4,3,3,21,1,4,3,2,4,4,4,1,2,5,3,3,2,4,1,2,2,50,1,3,0,1,16,3,1,11,4,1,5,2,3,39,3.42857142857143,3.5,5,3.2,3.5,2.5,"Other","ug","not_sure",32,1,"no",6,"white","south",0,"other",3
"50",51,2,3,3,2,4,3,3,4,5,5,4,3,5,4,4,2,3,3,2,4,3,2,50,1,4,3,1,4,3,4,2,3,4,1,2,1,2,1,1,3,50,1,1,5,5,26,1,1,11,3,1,5,1,3,82,2.85714285714286,4.33333333333333,3.33333333333333,3,3.16666666666667,1.33333333333333,"Female","below_ug","natural",42,1,"yes",2,"white","south",1,"more12months",2
"51",52,2,3,3,2,2,1,1,4,3,4,4,4,4,1,4,3,5,3,3,3,5,2,50,2,3,1,3,1,1,3,2,2,4,1,1,3,4,1,1,1,30,1,3,5,5,16,2,1,12,5,16,3,2,3,50,2,3.83333333333333,2.66666666666667,3.8,2,1.83333333333333,"Male","pg","not_sure",32,1,"no",2,"other","south",0,"more12months",2
"52",53,2,1,1,2,1,2,1,2,2,2,2,4,5,1,1,2,5,4,5,5,4,2,39,2,3,2,1,3,2,3,1,3,4,2,1,1,2,1,2,2,10,1,1,5,5,20,2,1,11,5,1,5,2,3,84,1.42857142857143,2.83333333333333,1.33333333333333,4.6,2.33333333333333,1.5,"Male","pg","natural",36,1,"no",2,"white","south",1,"more12months",2
"53",54,2,1,1,2,1,1,1,2,3,3,3,4,5,4,5,4,3,4,4,6,3,8,90,1,3,1,1,1,1,2,2,4,4,1,1,1,3,1,1,1,23,1,1,0,4,10,1,1,11,4,1,5,2,2,82,1.28571428571429,3.33333333333333,4.33333333333333,4,1.5,1.33333333333333,"Female","ug","natural",26,1,"no",3,"white","south",1,"other",0
"54",55,2,2,2,2,1,1,2,3,5,3,3,5,5,1,2,2,5,5,2,3,6,4,100,2,2,2,2,3,3,4,1,2,4,4,4,4,4,4,4,2,50,1,1,5,5,16,1,83,12,5,0,3,2,2,50,1.71428571428571,4,1.66666666666667,4.2,2.66666666666667,4,"Female","pg","natural",32,1,"no",2,"other","south",1,"more12months",4
"55",56,4,1,2,3,3,4,3,4,5,3,5,5,3,2,2,2,4,4,1,2,4,1,66,1,4,2,2,4,3,4,1,2,5,4,4,4,4,1,4,2,50.5278048780488,1,1,5,4,22,2,1,8,4,1,5,2,3,5,2.85714285714286,4.16666666666667,2,3,3.16666666666667,3.5,"Male","ug","natural",38,1,"no",3,"white","midlands",1,"more12months",1
"56",57,3,2,2,2,1,2,2,5,4,4,4,3,4,3,4,2,2,3,2,5,3,5,100,3,4,2,3,1,2,4,3,3,4,1,1,1,4,1,1,2,49,1,1,0,4,22,1,1,12,4,1,5,1,3,85,2,4,3,3,2.66666666666667,1.5,"Female","ug","natural",38,1,"yes",3,"white","south",1,"other",5
"57",58,3,3,4,2,3,2,2,4,4,4,3,4,4,4,5,4,4,5,3,3,4,3,65,1,4,4,3,4,4,4,1,3,4,4,3,4,4,1,4,1,33,1,1,0,3,12,2,1,6,5,1,5,2,3,25,2.71428571428571,3.83333333333333,4.33333333333333,3.8,3.83333333333333,3.33333333333333,"Male","pg","natural",28,1,"no",4,"white","north",1,"other",3
"58",59,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,2,5,4,5,6,6,7,90,2,2,1,1,4,1,1,2,3,3,1,1,1,1,1,1,1,100,3,1,5,4,9,1,1,10,4,1,5,2,3,100,1,5,3.33333333333333,5.2,1.66666666666667,1,"Female","ug","natural",25,0,"no",3,"white","south",1,"more12months",7
"59",60,4,4,4,4,2,4,4,4,4,2,1,3,4,3,5,2,5,2,3,5,2,2,75,2,4,4,4,3,4,4,1,3,3,3,3,3,4,1,3,2,50,1,1,0,3,7,1,1,11,4,1,5,2,3,25,3.71428571428571,3,3.33333333333333,3.4,3.83333333333333,2.83333333333333,"Female","ug","natural",23,1,"no",4,"white","south",1,"other",2
"60",61,1,1,1,2,1,2,1,1,4,2,4,2,5,4,5,1,6,5,3,5,6,5,81,2,3,2,1,3,3,3,3,3,4,1,1,1,2,1,1,2,75,1,1,5,5,20,1,1,11,4,1,5,1,3,88,1.28571428571429,3,3.33333333333333,5,2.5,1.16666666666667,"Female","ug","natural",36,1,"yes",2,"white","south",1,"more12months",5
"61",62,2,1,2,2,2,2,2,4,4,4,4,4,4,2,2,2,3,5,4,3,3,5,66,2,2,2,1,3,2,2,2,3,4,2,3,1,4,1,2,3,35,1,1,5,5,26,1,1,11,5,1,0,2,3,76,1.85714285714286,4,2,3.6,2,2.16666666666667,"Female","pg","natural",42,1,"no",2,"other","south",1,"more12months",5
"62",63,3,2,2,3,2,2,1,5,4,5,4,5,5,4,5,3,3,3,1,2,3,5,75,1,3,2,4,3,3,3,2,3,4,3,3,3,3,1,3,3,100,1,1,4,4,23,1,1,1,4,1,5,2,3,65,2.14285714285714,4.66666666666667,4,2.4,3,2.66666666666667,"Female","ug","natural",39,1,"no",3,"white","non_England",1,"6to12months",5
"63",64,2,2,4,3,1,3,2,5,5,5,4,4,5,5,5,4,5,5,3,3,4,6,79,2,4,4,2,4,3,4,1,3,5,1,1,1,4,1,4,3,20,1,1,0,2,23,1,1,11,5,1,5,2,3,89,2.42857142857143,4.66666666666667,4.66666666666667,4,3.5,2,"Female","pg","natural",39,1,"no",5,"white","south",1,"other",6
"64",65,4,4,4,4,4,4,2,2,2,4,3,3,5,4,5,4,2,2,1,3,2,3,60,2,3,1,4,4,4,4,2,2,4,4,3,3,3,1,4,1,50,1,1,4,4,10,3,1,12,4,11,5,2,2,50,3.71428571428571,3.16666666666667,4.33333333333333,2,3.33333333333333,3,"Other","ug","natural",26,1,"no",3,"white","south",1,"6to12months",3
"65",66,2,1,2,3,1,2,1,5,5,5,4,4,4,3,4,4,4,5,4,3,4,4,80,2,3,2,1,2,2,2,1,3,4,1,1,1,3,1,1,1,75,1,1,4,4,26,2,1,11,5,1,5,2,3,90,1.71428571428571,4.5,3.66666666666667,4,2,1.33333333333333,"Male","pg","natural",42,1,"no",3,"white","south",1,"6to12months",4
"66",67,1,1,1,1,1,1,2,4,5,5,4,4,5,2,1,2,5,5,3,3,5,5,85,2,3,4,2,4,1,2,3,3,4,2,1,2,4,1,2,1,33,1,1,5,4,18,2,1,5,4,1,5,2,3,85,1.14285714285714,4.5,1.66666666666667,4.2,2.66666666666667,2,"Male","ug","natural",34,1,"no",3,"white","north",1,"more12months",5
"67",68,2,2,2,1,1,3,2,1,1,1,1,2,2,3,4,4,1,3,3,3,3,2,100,1,4,1,1,1,2,2,3,2,4,4,2,1,3,1,3,1,15,1,1,4,4,8,1,1,5,3,1,5,2,3,10,1.85714285714286,1.33333333333333,3.66666666666667,2.6,1.83333333333333,2.33333333333333,"Female","below_ug","natural",24,1,"no",3,"white","north",1,"6to12months",2
"68",69,4,3,3,1,1,4,2,4,2,4,2,4,5,5,5,2,4,4,2,5,3,3,67,1,4,1,4,4,3,3,1,3,3,4,3,4,4,1,4,1,50,1,1,0,5,7,1,1,11,3,1,5,2,3,35,2.57142857142857,3.5,4,3.6,3.16666666666667,3.33333333333333,"Female","below_ug","natural",23,1,"no",2,"white","south",1,"other",3
"69",70,2,2,2,2,2,2,2,5,2,4,4,4,4,2,4,1,2,3,2,2,2,5,80,2,4,3,2,4,3,3,1,1,4,2,4,3,4,1,1,1,100,1,1,4,6,19,1,1,1,5,1,5,2,1,50,2,3.83333333333333,2.33333333333333,2.2,3.16666666666667,2.5,"Female","pg","natural",35,1,"no",1,"white","non_England",1,"6to12months",5
"70",71,2,1,2,1,1,2,1,4,4,4,4,3,3,2,4,2,3,3,3,2,3,8,60,1,4,1,2,3,3,3,2,4,5,4,4,4,4,4,4,2,31,1,3,0,4,26,1,1,12,5,1,5,2,3,58,1.42857142857143,3.66666666666667,2.66666666666667,2.8,2.66666666666667,4,"Female","pg","not_sure",42,1,"no",3,"white","south",0,"other",0
"71",72,1,1,1,1,1,1,2,4,4,2,3,4,4,3,3,2,4,4,4,3,4,6,75,1,4,3,1,3,2,2,1,3,4,4,4,3,4,1,4,3,50,1,3,5,2,20,2,1,6,3,1,5,2,3,85,1.14285714285714,3.5,2.66666666666667,3.8,2.5,3.33333333333333,"Male","below_ug","not_sure",36,1,"no",5,"white","north",0,"more12months",6
